 ---Dumping xc_dominfo for domain 2 ---
nr_pages=32768, nr_outstanding_pages=0, nr_shared_pages=0, nr_paged_pages=0
 --- Dumping P2M for domain 2 ---
 Guest Width: 8, PT Levels: 4 P2M size: = 32768
  pfn=0x0 ==> mfn=0x6ec02b (type 0x0) (pfn_type 0x0) [idle] [mapped]
  pfn=0x1 ==> mfn=0x6ec02a (type 0x0) (pfn_type 0x0) [idle] [mapped]
  pfn=0x2 ==> mfn=0x6ec029 (type 0x0) (pfn_type 0x0) [idle] [mapped]
  pfn=0x3 ==> mfn=0x6ec028 (type 0x0) (pfn_type 0x0) [idle] [mapped]
  pfn=0x4 ==> mfn=0x73a767 (type 0x0) (pfn_type 0x0) [idle] [mapped]
  pfn=0x5 ==> mfn=0x73a766 (type 0x0) (pfn_type 0x0) [idle] [mapped]
  pfn=0x6 ==> mfn=0x73a765 (type 0x0) (pfn_type 0x0) [idle] [mapped]
  pfn=0x7 ==> mfn=0x73a764 (type 0x0) (pfn_type 0x0) [idle] [mapped]
  pfn=0x8 ==> mfn=0x73a763 (type 0x0) (pfn_type 0x0) [idle] [mapped]
  pfn=0x9 ==> mfn=0x73a762 (type 0x0) (pfn_type 0x0) [idle] [mapped]
  pfn=0xa ==> mfn=0x73a761 (type 0x0) (pfn_type 0x0) [idle] [mapped]
  pfn=0xb ==> mfn=0x73a760 (type 0x0) (pfn_type 0x0) [idle] [mapped]
  pfn=0xc ==> mfn=0x6ec027 (type 0x0) (pfn_type 0x0) [idle] [mapped]
  pfn=0xd ==> mfn=0x6ec026 (type 0x0) (pfn_type 0x0) [idle] [mapped]
  pfn=0xe ==> mfn=0x6ec025 (type 0x0) (pfn_type 0x0) [idle] [mapped]
  pfn=0xf ==> mfn=0x6ec024 (type 0x0) (pfn_type 0x0) [idle] [mapped]
  pfn=0x10 ==> mfn=0x6ec023 (type 0x0) (pfn_type 0x0) [idle] [mapped]
  pfn=0x11 ==> mfn=0x6ec022 (type 0x0) (pfn_type 0x0) [idle] [mapped]
  pfn=0x12 ==> mfn=0x6ec021 (type 0x0) (pfn_type 0x0) [idle] [mapped]
  pfn=0x13 ==> mfn=0x6ec020 (type 0x0) (pfn_type 0x0) [idle] [mapped]
  pfn=0x14 ==> mfn=0x6ea557 (type 0x0) (pfn_type 0x0) [idle] [mapped]
